id,C1_R1,C1_R2,C1_R3,C2_R1,C2_R2,C2_R3,C3_R1,C3_R2,C3_R3,C4_R1,C4_R2,C4_R3
42,1,1,1,1,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,0,1,1,0,0,0
45,1,1,1,1,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1,1,0,0,0
52,1,1,1,1,1,1,1,1,1,1,1,1
53,1,1,1,1,1,1,1,1,1,1,1,1
54,1,1,1,1,1,1,1,1,1,1,1,1
55,1,1,1,1,1,1,1,1,1,1,1,1
56,1,1,1,1,1,1,1,1,1,1,1,1
57,1,1,1,1,1,1,0,1,1,1,1,1
58,1,1,1,1,1,1,1,1,1,0,0,0
59,1,1,1,1,1,1,1,1,1,1,1,1
60,1,1,1,1,1,1,1,1,1,1,1,1
61,1,1,1,1,1,1,0,1,0,0,0,0
62,1,1,1,1,1,1,1,1,1,1,1,1
63,1,1,1,1,1,1,1,1,1,1,1,1
64,1,1,1,1,1,1,1,1,1,1,1,1
65,1,1,1,1,1,1,0,0,0,0,0,0
66,1,1,1,1,1,1,1,1,0,1,1,1
67,1,1,1,1,1,1,1,1,1,1,1,1
68,1,1,1,1,1,1,1,1,1,1,1,0
69,1,1,1,1,1,1,1,0,0,1,1,1
70,1,1,1,1,1,1,1,1,1,1,1,1
71,1,1,1,1,1,1,1,1,1,1,1,1
72,1,1,1,1,1,1,1,1,0,1,1,1
73,1,1,1,1,1,1,1,1,1,1,1,1
74,1,1,1,1,1,1,1,1,1,1,1,1
75,0,0,0,0,0,0,0,0,0,0,0,0
76,1,1,1,1,1,1,0,1,1,0,0,0
77,1,1,1,1,1,1,1,1,1,1,1,1
78,1,1,1,1,1,1,1,1,1,1,1,1
79,1,1,1,1,1,1,1,1,1,1,1,0
80,1,1,1,1,1,1,1,1,1,1,1,1
81,1,1,1,1,1,1,1,1,1,1,1,1
82,1,1,1,1,1,1,1,1,1,1,1,1
83,1,1,1,1,1,1,0,0,0,0,0,0
84,1,1,1,1,1,1,1,1,1,1,1,1
85,1,1,1,1,1,1,1,1,1,1,1,1
86,1,1,1,1,1,1,1,1,1,1,1,1
87,1,1,1,1,1,1,1,1,1,1,1,1
88,1,1,1,1,1,1,1,1,1,1,1,1
89,1,1,1,1,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,0,0,0,0,0,0
91,1,1,1,1,1,1,0,1,1,1,1,1
92,1,1,1,1,1,1,1,1,1,1,1,1
93,1,1,1,1,1,1,0,0,0,0,1,1
94,0,0,0,0,0,0,0,0,0,0,0,0
95,1,1,1,1,1,1,0,0,0,1,0,1
96,1,1,1,1,1,1,0,0,0,1,1,0
97,1,1,1,1,1,1,1,1,1,0,0,0
98,1,1,1,1,1,1,1,1,1,1,1,1
99,1,1,1,1,1,1,1,1,1,1,1,1
100,1,1,1,1,1,1,1,1,1,1,1,1
101,1,1,1,1,1,1,0,1,0,0,1,1
102,1,1,1,1,1,1,1,1,1,1,1,1
103,1,1,1,1,1,1,1,1,1,1,1,1
104,1,1,1,1,1,1,1,1,1,1,1,1
105,1,1,1,1,1,1,1,1,1,1,1,1
106,1,1,1,1,1,1,1,1,1,1,1,1
107,1,1,1,1,1,1,1,1,1,1,1,1
108,1,1,1,1,1,1,1,0,1,0,0,0
109,0,0,0,0,0,0,0,0,0,1,1,1
110,1,1,1,1,1,1,1,1,1,1,1,1
111,1,1,1,1,1,1,1,1,1,1,1,1
112,1,1,1,1,1,1,0,1,0,1,1,1
113,1,1,1,1,1,1,1,1,1,1,1,1
114,1,1,1,1,1,1,0,0,0,0,1,0
115,1,1,1,1,1,1,1,1,1,1,1,1
116,1,1,1,1,1,1,0,0,0,0,0,0
117,1,1,1,1,1,1,1,1,1,1,1,1
118,1,1,1,1,1,1,1,1,1,1,1,1
119,1,1,1,1,1,1,1,0,1,0,0,1
120,1,1,1,1,1,1,1,1,1,1,1,1
121,1,1,1,1,1,1,1,1,1,1,1,1
122,1,1,1,1,1,1,1,1,1,1,1,1
123,1,1,1,1,1,1,1,1,1,1,1,1
124,1,1,1,1,1,1,1,0,1,0,0,0
125,1,1,1,1,1,1,1,1,1,1,1,1
126,1,1,1,1,1,1,0,0,0,0,0,0
127,1,1,1,1,1,1,0,0,1,1,1,1
128,1,1,1,1,1,1,1,1,1,1,1,1
129,1,1,1,1,1,1,0,0,0,0,0,0
130,1,1,1,1,1,1,1,1,1,0,0,0
131,1,1,1,1,1,1,1,1,1,1,1,1
132,1,1,1,1,1,1,0,0,0,0,0,0
133,1,1,1,1,1,1,0,0,0,0,0,0
134,1,1,1,1,1,1,1,1,1,1,1,1
135,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,1,0,0,1,1,1,1,1,1
137,1,1,1,1,1,1,1,1,1,1,1,1
138,1,1,1,1,1,1,1,1,1,1,1,1
139,1,0,1,1,1,1,0,0,0,1,1,0
140,0,0,0,0,0,0,0,0,0,0,0,0
141,1,1,1,1,1,1,1,1,1,1,1,1
142,1,1,1,1,1,1,1,1,1,1,1,1
143,0,0,0,1,1,1,1,1,0,0,0,1
144,0,0,0,0,0,0,0,0,0,1,1,1
145,1,1,1,1,1,1,1,1,0,0,0,0
146,1,1,1,1,1,1,1,1,1,1,1,1
147,1,1,1,1,1,1,1,1,1,1,1,1
148,1,1,1,1,1,1,1,1,1,1,1,1
149,1,1,1,1,1,1,1,1,1,1,1,1
150,1,1,1,1,1,1,1,1,1,1,1,1
