"id","user_id","mensaje","enviado_utc","http","latencia_ms","error"
"35","E7-5492610000035@whatsapp.sim","hola, hice una compra a nombre de Sordi, esta en camino?","2026-09-11 17:36:15.173","200","28",
"36","E7-5492610000036@whatsapp.sim","hacen envios internacionales?","2026-09-11 17:36:18.211","200","27",
"37","E7-5492610000037@whatsapp.sim","es la tercera vez que escribo y nadie me contesta","2026-09-11 17:36:21.250","200","33",
"38","E7-5492610000038@whatsapp.sim","mi pedido no llega y ya pasaron los 5 dias que decia la web","2026-09-11 17:36:24.294","200","27",
"39","E7-5492610000039@whatsapp.sim","necesito saber si ya despacharon mi paquete","2026-09-11 17:36:27.338","200","29",
"40","E7-5492610000040@whatsapp.sim","es seguro pagar con tarjeta en la web?","2026-09-11 17:36:30.374","200","27",
"41","E7-5492610000041@whatsapp.sim","quiero hablar con un supervisor","2026-09-11 17:36:33.418","200","27",
"42","E7-5492610000042@whatsapp.sim","hola? hay alguien?","2026-09-11 17:36:36.458","200","33",
"43","E7-5492610000043@whatsapp.sim","seguimiento pedido ORD-9931","2026-09-11 17:36:39.497","200","28",
"44","E7-5492610000044@whatsapp.sim","tienen local fisico para retirar?","2026-09-11 17:36:42.540","200","29",
"45","E7-5492610000045@whatsapp.sim","me estafaron, no llego nada y ya pague","2026-09-11 17:36:45.584","200","30",
"46","E7-5492610000046@whatsapp.sim","compre el lunes y todavia nada, esta todo bien?","2026-09-11 17:36:48.630","200","27",
"47","E7-5492610000047@whatsapp.sim","cuantos dias tengo para devolver algo?","2026-09-11 17:36:51.671","200","29",
"48","E7-5492610000048@whatsapp.sim","ok gracias","2026-09-11 17:36:54.716","200","28",
"49","E7-5492610000049@whatsapp.sim","el paquete llego abierto y faltaban cosas","2026-09-11 17:36:57.749","200","29",
"50","E7-5492610000050@whatsapp.sim","me confirman que recibieron mi orden?","2026-09-11 17:37:00.792","200","30",
"51","E7-5492610000051@whatsapp.sim","aceptan transferencia bancaria?","2026-09-11 17:37:03.836","200","28",
"52","E7-5492610000052@whatsapp.sim","compre hace un mes y todavia no recibi nada, quiero mi reembolso","2026-09-11 17:37:06.870","200","27",
"53","E7-5492610000053@whatsapp.sim","buenas tardes, consulta por el pedido 8823","2026-09-11 17:37:09.903","200","32",
"54","E7-5492610000054@whatsapp.sim","los precios incluyen iva?","2026-09-11 17:37:12.949","200","29",
"55","E7-5492610000055@whatsapp.sim","buenisimo, muchas gracias","2026-09-11 17:37:15.988","200","31",
"56","E7-5492610000056@whatsapp.sim","la garantia no me la quieren hacer valer","2026-09-11 17:37:19.029","200","29",
"57","E7-5492610000057@whatsapp.sim","donde anda mi paquete","2026-09-11 17:37:22.073","200","29",
"58","E7-5492610000058@whatsapp.sim","hasta cuantas cuotas sin interes hay?","2026-09-11 17:37:25.116","200","31",
"59","E7-5492610000059@whatsapp.sim","me mandaron un producto usado","2026-09-11 17:37:28.157","200","28",
"60","E7-5492610000060@whatsapp.sim","quisiera saber si mi pedido ya salio de deposito","2026-09-11 17:37:31.198","200","29",
"61","E7-5492610000061@whatsapp.sim","trabajan con oca o andreani?","2026-09-11 17:37:34.236","200","36",
"62","E7-5492610000062@whatsapp.sim","hola como andan","2026-09-11 17:37:37.280","200","27",
"63","E7-5492610000063@whatsapp.sim","cancele el pedido y me siguen cobrando","2026-09-11 17:37:40.314","200","31",
"64","E7-5492610000064@whatsapp.sim","el envio de la notebook en que estado esta?","2026-09-11 17:37:43.355","200","29",
"65","E7-5492610000065@whatsapp.sim","puedo cambiar la direccion de envio despues de comprar?","2026-09-11 17:37:46.396","200","34",
"66","E7-5492610000066@whatsapp.sim","pesimo servicio, nunca mas compro aca","2026-09-11 17:37:49.443","200","28",
"67","E7-5492610000067@whatsapp.sim","hola! me pueden decir si mi pedido esta demorado?","2026-09-11 17:37:52.474","200","30",
"68","E7-5492610000068@whatsapp.sim","que metodos de pago aceptan?","2026-09-11 17:37:55.511","200","33",
"69","E7-5492610000069@whatsapp.sim","queria cambiar un producto, cual es el procedimiento? me llego fallado","2026-09-11 17:37:58.559","200","31",
"70","E7-5492610000070@whatsapp.sim","el teclado dejo de andar a los 3 dias","2026-09-11 17:38:01.601","200","28",
"71","E7-5492610000071@whatsapp.sim","pedido ORD-5567 - estado?","2026-09-11 17:38:04.636","200","29",
"72","E7-5492610000072@whatsapp.sim","la garantia la cubre la marca o ustedes?","2026-09-11 17:38:07.671","200","31",
"73","E7-5492610000073@whatsapp.sim","che","2026-09-11 17:38:10.715","200","35",
"74","E7-5492610000074@whatsapp.sim","me cobraron el envio que decia que era gratis","2026-09-11 17:38:13.763","200","28",
"75","E7-5492610000075@whatsapp.sim","sigo esperando el mail con el tracking","2026-09-11 17:38:16.806","200","32",
"76","E7-5492610000076@whatsapp.sim","hacen descuento por pago en efectivo?","2026-09-11 17:38:19.841","200","27",
"77","E7-5492610000077@whatsapp.sim","hace una semana que pedi la devolucion y no me contestan","2026-09-11 17:38:22.875","200","28",
"78","E7-5492610000078@whatsapp.sim","mi orden aparece como confirmada, cuando la mandan?","2026-09-11 17:38:25.919","200","29",
"79","E7-5492610000079@whatsapp.sim","cuanto cuesta el envio si compro mas de un producto?","2026-09-11 17:38:28.953","200","31",
"80","E7-5492610000080@whatsapp.sim","buenas tardes","2026-09-11 17:38:31.998","200","28",
"81","E7-5492610000081@whatsapp.sim","el producto no es como se ve en la foto","2026-09-11 17:38:35.032","200","42",
"82","E7-5492610000082@whatsapp.sim","hace cuanto salio mi envio?","2026-09-11 17:38:38.081","200","28",
"83","E7-5492610000083@whatsapp.sim","puedo retirar por sucursal?","2026-09-11 17:38:41.115","200","32",
"84","E7-5492610000084@whatsapp.sim","me llego incompleto el pedido, falta un item","2026-09-11 17:38:44.154","200","37",
"85","E7-5492610000085@whatsapp.sim","buenas, numero de orden 3345, queria el estado","2026-09-11 17:38:47.194","200","28",
"86","E7-5492610000086@whatsapp.sim","si el producto no me gusta lo puedo devolver?","2026-09-11 17:38:50.227","200","30",
"87","E7-5492610000087@whatsapp.sim","gracias, muy amables","2026-09-11 17:38:53.259","200","32",
"88","E7-5492610000088@whatsapp.sim","quiero hacer un reclamo formal","2026-09-11 17:38:56.305","200","29",
"89","E7-5492610000089@whatsapp.sim","me dijeron que llegaba hoy, se sabe algo?","2026-09-11 17:38:59.341","200","30",
"90","E7-5492610000090@whatsapp.sim","tienen atencion telefonica?","2026-09-11 17:39:02.385","200","30",
"91","E7-5492610000091@whatsapp.sim","el repartidor nunca vino y figura como entregado","2026-09-11 17:39:05.430","200","27",
"92","E7-5492610000092@whatsapp.sim","che consulta, el pedido de la silla gamer ya viene?","2026-09-11 17:39:08.474","200","29",
"93","E7-5492610000093@whatsapp.sim","cual es el horario de atencion?","2026-09-11 17:39:11.510","200","42",
"94","E7-5492610000094@whatsapp.sim","hola! gracias por la respuesta anterior, igual sigo sin saber donde esta mi pedido","2026-09-11 17:39:14.564","200","28",
"95","E7-5492610000095@whatsapp.sim","me dieron mal la informacion, quiero una solucion ya","2026-09-11 17:39:17.603","200","32",
"96","E7-5492610000096@whatsapp.sim","quiero rastrear mi compra","2026-09-11 17:39:20.648","200","29",
"97","E7-5492610000097@whatsapp.sim","emiten factura B?","2026-09-11 17:39:23.684","200","29",
"98","E7-5492610000098@whatsapp.sim","dale, gracias","2026-09-11 17:39:26.720","200","27",
"99","E7-5492610000099@whatsapp.sim","voy a hacer la denuncia en defensa del consumidor","2026-09-11 17:39:29.760","200","29",
"100","E7-5492610000100@whatsapp.sim","hola, tengo dos pedidos abiertos, me pasan el estado de ambos?","2026-09-11 17:39:32.801","200","28",
"101","E7-5492610000101@whatsapp.sim","los envios son con seguro?","2026-09-11 17:39:35.840","200","49",
"102","E7-5492610000102@whatsapp.sim","me llego todo golpeado el paquete","2026-09-11 17:39:38.895","200","28",
"103","E7-5492610000103@whatsapp.sim","compre con el mail lucia.perez@example.com, que paso con mi orden?","2026-09-11 17:39:41.925","200","27",
"104","E7-5492610000104@whatsapp.sim","cuanto demora el reintegro de una devolucion?","2026-09-11 17:39:44.954","200","37",
"105","E7-5492610000105@whatsapp.sim","hola, queria hacer una consulta","2026-09-11 17:39:47.999","200","29",
"106","E7-5492610000106@whatsapp.sim","pague en 12 cuotas y me cobraron en 1","2026-09-11 17:39:51.035","200","28",
"107","E7-5492610000107@whatsapp.sim","buen dia, el pedido ORD-7788 sigue en preparacion?","2026-09-11 17:39:54.067","200","34",
"108","E7-5492610000108@whatsapp.sim","puedo comprar sin registrarme?","2026-09-11 17:39:57.104","200","36",
"109","E7-5492610000109@whatsapp.sim","tienen stock del PROD-013? porque lo pedi y me dijeron que no habia","2026-09-11 17:40:00.151","200","32",
"110","E7-5492610000110@whatsapp.sim","el producto vino sin los accesorios que decia","2026-09-11 17:40:03.194","200","27",
"111","E7-5492610000111@whatsapp.sim","alguna novedad de mi envio?","2026-09-11 17:40:06.236","200","28",
"112","E7-5492610000112@whatsapp.sim","hacen envio gratis a partir de cierto monto?","2026-09-11 17:40:09.280","200","29",
"113","E7-5492610000113@whatsapp.sim","perfecto, saludos","2026-09-11 17:40:12.321","200","28",
"114","E7-5492610000114@whatsapp.sim","atencion pesima, llevo 40 minutos esperando respuesta","2026-09-11 17:40:15.357","200","30",
"115","E7-5492610000115@whatsapp.sim","mi pedido dice en transito hace 5 dias","2026-09-11 17:40:18.404","200","31",
"116","E7-5492610000116@whatsapp.sim","venden productos usados o todos son nuevos?","2026-09-11 17:40:21.446","200","31",
"117","E7-5492610000117@whatsapp.sim","me quieren cobrar el envio de la devolucion cuando el error fue de ustedes","2026-09-11 17:40:24.490","200","29",
"118","E7-5492610000118@whatsapp.sim","queria confirmar si ya salio el despacho","2026-09-11 17:40:27.531","200","27",
"119","E7-5492610000119@whatsapp.sim","si pago con transferencia cuando despachan?","2026-09-11 17:40:30.567","200","29",
"120","E7-5492610000120@whatsapp.sim","hola necesito ayuda","2026-09-11 17:40:33.607","200","30",
"121","E7-5492610000121@whatsapp.sim","me cancelaron el pedido sin avisarme","2026-09-11 17:40:36.652","200","30",
"122","E7-5492610000122@whatsapp.sim","hola necesito el estado del pedido urgente","2026-09-11 17:40:39.686","200","26",
"123","E7-5492610000123@whatsapp.sim","tienen reembolso si el producto llega roto?","2026-09-11 17:40:42.721","200","30",
"124","E7-5492610000124@whatsapp.sim","buenas, se puede cancelar un pedido ya pagado?","2026-09-11 17:40:45.765","200","28",
"125","E7-5492610000125@whatsapp.sim","ORD-2211","2026-09-11 17:40:48.811","200","29",
"126","E7-5492610000126@whatsapp.sim","puedo pedir que lo dejen con el portero?","2026-09-11 17:40:51.848","200","33",
"127","E7-5492610000127@whatsapp.sim","la factura vino con datos mal cargados","2026-09-11 17:40:54.893","200","30",
"128","E7-5492610000128@whatsapp.sim","me pueden ayudar?","2026-09-11 17:40:57.939","200","34",
"129","E7-5492610000129@whatsapp.sim","me llego un mail que decia confirmado, eso significa que ya lo mandaron?","2026-09-11 17:41:00.988","200","29",
"130","E7-5492610000130@whatsapp.sim","aceptan tarjeta de debito?","2026-09-11 17:41:04.018","200","29",
"131","E7-5492610000131@whatsapp.sim","exijo que me devuelvan la plata hoy mismo","2026-09-11 17:41:07.062","200","32",
"132","E7-5492610000132@whatsapp.sim","buenas, cuando estiman que llega el pedido a mendoza?","2026-09-11 17:41:10.106","200","30",
"133","E7-5492610000133@whatsapp.sim","hay stock del monitor samsung 24?","2026-09-11 17:41:13.150","200","28",
"134","E7-5492610000134@whatsapp.sim","buen finde!","2026-09-11 17:41:16.183","200","30",
"135","E7-5492610000135@whatsapp.sim","no entiendo nada de como funciona esto","2026-09-11 17:41:19.229","200","27",
"136","E7-5492610000136@whatsapp.sim","hola! el pedido que cancele ayer, se proceso la cancelacion?","2026-09-11 17:41:22.263","200","30",
"137","E7-5492610000137@whatsapp.sim","cuanto tiempo de garantia tienen las notebooks?","2026-09-11 17:41:25.304","200","27",
"138","E7-5492610000138@whatsapp.sim","sos un bot o una persona?","2026-09-11 17:41:28.348","200","32",
"139","E7-5492610000139@whatsapp.sim","hola queria saber si les llego mi transferencia","2026-09-11 17:41:31.391","200","29",
"140","E7-5492610000140@whatsapp.sim","queria saber si mi compra quedo registrada","2026-09-11 17:41:34.423","200","27",
"141","E7-5492610000141@whatsapp.sim","como se calcula el costo de envio?","2026-09-11 17:41:37.460","200","27",
"142","E7-5492610000142@whatsapp.sim","quien me esta respondiendo?","2026-09-11 17:41:40.503","200","27",
"143","E7-5492610000143@whatsapp.sim","me podrian pasar el telefono de atencion? necesito reclamar algo urgente","2026-09-11 17:41:43.532","200","27",
"144","E7-5492610000144@whatsapp.sim","tengo el codigo de seguimiento pero no figura nada en la web del correo","2026-09-11 17:41:46.563","200","30",
"145","E7-5492610000145@whatsapp.sim","puedo pagar contra entrega?","2026-09-11 17:41:49.598","200","26",
"146","E7-5492610000146@whatsapp.sim","nada, ya lo resolvi, gracias igual","2026-09-11 17:41:52.627","200","28",
"147","E7-5492610000147@whatsapp.sim","felices fiestas!","2026-09-11 17:41:55.665","200","27",
"148","E7-5492610000148@whatsapp.sim","como estan?","2026-09-11 17:41:58.700","200","29",
"149","E7-5492610000149@whatsapp.sim","hola buenas","2026-09-11 17:42:01.731","200","32",
"150","E7-5492610000150@whatsapp.sim","me llego el paquete pero adentro habia otra cosa","2026-09-11 17:42:04.779","200","28",
